"4,5,5,5,5,5,5","1,2,3,4,5,6,7","47790,10541,11015,11920,18253,10664,10113","15486,5572,5733,6958,4561,4907,5599",A2EBYJVHW8NGM2,Desktop,25 - 31,Cable network,None,1
"5,2,1,2,1,2,2","1,2,3,4,5,6,7","34389,11571,11020,10733,11769,12079,12279","46911,12772,6880,4626,5350,5740,6582",ANZN7CH92GM4X,Desktop,25 - 31,Cellular network,None,1
"4,3,3,4,4,4,4","1,2,3,4,5,6,7","48322,27735,22745,66779,4604,2948,7486","2895,2050,1878,2626,2266,2443,1935",A3JLE2LJ5I17E2,Desktop,25 - 31,Cellular network,None,1
"5,3,4,4,2,2,3","1,2,3,4,5,6,7","25089,6407,16090,13098,4826,25278,7045","9677,8800,3946,8083,6334,2820,5078",A1M682B2WUSYJP,Desktop,32 - 38,WiFi,I just went with my gut. ,1
"5,3,3,4,4,3,3","1,2,3,4,5,6,7","73060,9049,4996,1823,19637,7033,9244","21977,22935,6167,3184,18985,3630,14525",A3AGQ2G8QI59EG,Laptop,18 - 24,WiFi,if it was part of the whole video,1
"5,3,3,4,4,4,4","1,2,3,4,5,6,7","75868,40960,80092,21355,12776,12200,10792","23760,4867,6799,5226,45574,5832,5401",A3T1M4OMBVSDZ2,Desktop,25 - 31,Cable network,None,1
"5,5,3,5,5,5,4","1,2,3,4,5,6,7","3663,8786,2587,2793,3090,2550,4765","5702,11234,3884,3044,3888,3070,4072",A1OKRXYRGH6Y4S,Desktop,25 - 31,WiFi,good,1
"5,2,2,3,2,2,2","1,2,3,4,5,6,7","38005,32559,12783,13120,57560,10636,12441","28033,19862,8436,6103,5129,4656,6315",A36RA1Y6LOKO1O,Laptop,32 - 38,WiFi,good experience,1
"4,3,4,4,5,3,1","1,2,3,4,5,6,7","59303,21074,22102,17333,18428,11181,10361","19748,23426,3222,2977,7382,3324,4057",A10GB1Q5B1EW8R,Desktop,32 - 38,Cellular network,None,1
"4,5,2,4,5,4,2","1,2,3,4,5,6,7","36920,14355,12759,24173,20659,13139,9119","5882,4030,5181,15683,60507,3980,4797",A28QEWOZOQ2954,Desktop,25 - 31,Cellular network,None,1
"4,3,4,4,3,3,3","1,2,3,4,5,6,7","31675,18787,18599,23106,33904,14068,28337","7943,3690,3417,8449,40542,7322,5823",A1OV7RAMWGBTEE,Laptop,25 - 31,Cable network,None,1
"5,5,5,-1,-1,0,0",n,"20020,3340,3340,3340,3340,3370,3340",,,,,,,Reject
"5,2,3,1,2,1,1","1,2,3,4,5,6,7","28388,7734,7645,7413,8344,6891,6885","10620,8950,4749,1885,2075,1833,1833",A3HE7G3O3OST51,Desktop,18 - 24,WiFi,the amount of action that took place and whether it was exciting or not. ,
"5,5,3,3,4,4,4","1,2,3,4,5,6,7","64108,19834,19366,9671,9473,6081,3473","3257,7067,2135,2461,2023,1545,2205",ABL3H3O3BI8ZD,Desktop,25 - 31,Cellular network,None,
"2,5,3,1,3,2,2","1,2,3,4,5,6,7","25025,7055,7492,7028,8406,6752,7326","16661,14127,2661,2918,2529,4734,6075",A17TKHT8FEVH0R,Desktop,25 - 31,Cable network,"If there was more than 1 thing to see, then it was more important.",
"3,4,3,2,4,4,3","1,2,3,4,5,6,7","21193,26327,15491,25079,10136,4164,5115","4397,2389,2077,5096,2500,8098,5317",A3SD02HCW68EUL,Desktop,25 - 31,Cable network,None,
"5,3,3,3,3,3,3","1,2,3,4,5,6,7","120393,8421,9056,34955,12757,9611,8970","7702,4309,4083,4891,7458,6895,9934",A2Q1HFLM62BRMB,Desktop,32 - 38,Cable network,None,
"5,5,5,5,5,4,4","1,2,3,4,5,6,7","34004,64265,29852,12085,11437,12299,12204","19043,18995,8914,5425,5593,9690,6764",A1S629MLDKZ2DI,Laptop,25 - 31,Cable network,important,
"5,5,4,4,3,3,4","1,2,3,4,5,6,7","49135,5725,5672,1071,5837,4447,6006","5052,2508,1518,2478,1554,1542,2589",A2I6ZALE49CVSC,Desktop,25 - 31,Cable network,If any action was gonna happen.,
"5,5,5,5,5,5,5","1,2,3,4,5,6,7","14963,29723,32396,15880,11830,33570,35178","52441,9286,12544,19883,17617,17321,6235",ANYJ22IOQKAX3,Laptop,18 - 24,WiFi,None,
"5,4,4,4,4,4,4","1,2,3,4,5,6,7","34090,18771,9523,13618,11130,10976,8802","18682,94144,7577,16841,3894,10521,4584",AVKCPL8XMWX0J,Tablet,32 - 38,WiFi,None,
